Sentiment,Description,Score
neutral,i fought back the blush on his cheeks one hand resting over his heart feeling the frantic beating almost positive kai could hear it,-0.0498
negative,i try not to let my anxiety show and make him feel unwelcome,-0.5267
neutral,i forgot my passport and i realize that my stomach was feeling funny until i went to the washroom and understand that i was actually sick,0.0258
positive,i feel peaceful secure and independent,0.6808
positive,ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,0.6705
positive,i am feeling a lil groggy from the cough medicine,0.128
positive,i like her a lot as a person but i cant help feeling less that what she is she has my dream jobs shes more sociable shes a combat trainer,0.1536
negative,i guess im not ready for that still young and feeling rebellious,-0.4234
positive,i started feeling overly lethargic my whole body feels like lead,0.2023
negative,i feel im being ignored,-0.3182
positive,i do feel that at least it meant they are compassionate and care about the world ba,0.7506
negative,i feel lots more energy i feel very impatient and irritable,-0.5367
positive,i recommend using them when feeling emotionally drained,0.128
negative,im sorry i have a really bad cold and im feeling bitchy cos i never got to go out drinking myself stupid with my best friends tonight,-0.4576
negative,i said you are not focused with me and when you are not focused with me i feel unimportant,-0.6876
negative,i feel pressured by a dumb feeling,-0.5719
positive,i changed i feel that im taking advantage of her this wouldnt have bothered me one bit before,0.4519
negative,i feel like im a horrible person and sometimes that im not even a good mother for the simple fact it happened and i dont know what to do,-0.5277
positive,i once told my friends that i feel like doing some sort of backpacking but instead of supporting me with this idea all i got from them were raised eye brows and some sarcastic remarks,0.631
positive,i do not like the originals but i want rebekah to have a satisfactory ending and not to be shamed for feeling and loving by klaus and to some extent stefan and damon,0.9341
negative,i often feel fucked regardless,-0.6597
positive,im more than ready to meet this little man but knowing that time is running out leaves me feeling a little apprehensive,0.3898
positive,im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,0.8573
positive,i feel like i am coming into my own really caring about myself and what i am feeling thinking doing,0.7574
negative,im feeling groggy and horrid,-0.4588
negative,i didnt smoke in the house or car but i can remember feeling so agitated on the way home from anywhere,-0.6756
negative,i feel lousy pain in my leg and foot falling back pain my guts were a mess around easter,-0.9217
positive,i feel fine now but it was pretty rough running for hours and minutes straight,0.7935
positive,im really feeling good,0.6087
negative,i would give you ample reasons to feel ashamed,-0.4767
negative,i will confess to you i have had moments of feeling overwhelmed and ill admit being a bit melancholy,-0.4939
positive,i wish i would feel blessed all the time and remember what i do have but for some reason it wears on me all the time and so i need that reminder through the year,0.5106
positive,i meet in supermarkets banks dentists etc make me feel like im weird,0.2023
positive,i can feel the gap it feels like rich people status and poor people status,0.4588
positive,i know it s best to support low arches and the footbed of these feels supportive without feeling too high,0.767
positive,i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,0.829
positive,i often feel that working in it is like being a hopefully benevolent goliath that is often undone by the humblest of davids,0.836
positive,im feeling my loving heart is all yours for the stealing reach out your worn hands for you im ready a href http,0.2732
positive,i like to listen to it when the weather gets warm though because it makes me feel like i m carefree and at the beach,0.8225
positive,ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,0.8834
positive,im feeling peaceful and im happy that i dont have to do anymore scabi im in verona my final week,0.8126
negative,im feel alone and i dont know how to cope,-0.25
negative,i feel selfish but i think it s about time i was,-0.2617
positive,i spent a lot of time earlier this year feeling stressed out about capacity and resistant to stretching it because it felt like stretching me,0.1531
negative,im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,-0.4168
negative,i feel disturbed betrayed untrustworthy slightly disagreeable,-0.8405
positive,i feel so proud,0.5256
negative,i feel a little bit frightened of islam,-0.3862
positive,i think you said beautiful things to them and i think you meant them you loved being with them i think you made them feel terrific,0.8979
negative,im alternating between felling optimistic and feeling doomed,-0.34
neutral,ive listened enough to all you people and i just go back to my old ways by taking your advice then in the end i just feel discontent with myself because i cant change my ways that i give up before its over,0.0
positive,i feel inside cause life is like a game sometimes then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,0.2732
negative,i always seem to feel im running on empty,-0.2023
positive,i can honestly say that while i havent enjoyed learning the lessons we have learned i do feel as though we have come out stronger and tougher and more loving and more appreciative,0.9133
positive,i feel like i need to emphasize that because i was very impressed with the color of it,0.7089
negative,i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,-0.8625
positive,i personally feel that this is not a acceptable piece of art but i feel this does test personal moral and ethical views in people,0.6084
negative,i go to sleep as soon as my head hits the pillow i sleep deeply all night and i wake up feeling a lot less lethargic then usual,-0.1045
negative,i feel troubled over,-0.4588
negative,i feel like i meet the most subtly obnoxious annoying people in the universe,-0.5778
positive,i do feel my beloved husbands spirit more and more strongly an indication to me that another breakthrough is imminent,0.7688
negative,i feel like its not worth trusting him,-0.1088
positive,i feel like hed think that was pretty cool because i certainly do,0.8555
negative,i feel my bones silently aching from the knuckles spreading to my uneven nails in oscillating patterns,-0.4939
positive,i feel like amazing co screenwriter roberto orcis bizarre adoration of dubya the pampered bush son was responsible for this shit even though it was carried over from the amazing spider man which orci didnt co write,0.886
negative,i feel so vulnerable to criticism like if my lunch stinks or if somebody comments on what i eat i have this embarrassed feeling,-0.7377
positive,i feel so blessed to be yoked to a man so willing to work so hard to provide for us,0.515
negative,i have an uneasy feeling about the stupidly talented eagles mainly because as good as they are at most positions they re dangerously thin at others,-0.2263
positive,i feel a whisper a friendly voice start to rise indulge until your hearts content and pay no mind,0.1531
positive,i am supposed to feel doubtful but i still think i forget sometimes how amazing it is that i am living in this city and that i get to work with such inspiring young women at my internship,0.7814
negative,i still have not received any letter from moe and i admit that im starting to feel slightly troubled about it,-0.228
positive,i am living a joyful life and i feel this divine beings as part of my daily life,0.8462
positive,i feel dirty because i didn t like jane eyre and i just bigged it up in context yes but still,0.1655
negative,i feel and some is just a hateful of hollow yes i hear many smiths these days,-0.128
negative,i didnt use to feel embarrassed walking by people in it at the pool,-0.3612
negative,i feel lethargic instead which is almost worse,-0.6133
negative,i cant help but feel like im doing something dirty,-0.3025
positive,i set out on foot i feel comparatively strong light and free,0.765
negative,i mean post and i feel rotten abou,-0.5106
positive,i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,0.5984
neutral,i feel like perhaps as soon as i grabbed onto him i should have followed him out and beaten him up,-0.0772
positive,i feel lucky to the point of feeling guilty about having got away without more serious damage and disability,0.5821
positive,i cannot help but feel proud and grateful to be an america,0.8187
positive,i want to feel your sweet embrace but dont take that paper bag off your face i love your smile face and eyes damn im good at telling lies,0.8573
positive,i did not do all this to feel pretty might i add,0.4939
positive,i feel simultaneously thrilled and shy about this its both unsettling and exciting to see myself in this way,0.6249
positive,im just saying that if i did they would make me feel successful,0.5859
positive,i don t feel the issue is resolved,0.1779
positive,i feel that it could have been a more successful outcome had i explored new styles but kept it close to me and remained myself,0.3708
negative,i seriously feel like im becoming more and more boring everyday,-0.2632
negative,i hated that i hurt him with my feelings i hated that i was dating somebody i didn t love i hated that i pretended lied to a friend i really treassured,-0.9042
negative,i am regularly in a rush and feel irritated and i dont take the time to communicate my needs or my feelings,-0.4588
positive,i expect and hope the greater id feel disappointed,0.3182
positive,i feel as though sometimes i can be more clever than average,0.5095
positive,i feel like hes sure of it,0.5859
positive,i feel like any student response can tip the delicate balance of my psyche,0.4019
positive,i feel that this is neither impatient nor dickish and here are some reasons why,0.2235
positive,i got the feeling he wasn t saying this to string me along so much as to have a sympathetic audience to tell his troubles to,0.2023
negative,i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,-0.7717
negative,ive been trying to tell you how i feelbut was never very smart,-0.3559
negative,i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,-0.5106
positive,i try to be mindful about where i am in the room and i check in with the minister beforehand about what would feel most supportive for her,0.3597
negative,i feel lethargic and i find no more reason to move not even a full bladder threatening to burst,-0.7783
negative,i tried to write it off as normal and ignored all feelings throwing myself into a very unsuccessful relationship with a boy when i was about,-0.624
negative,i have to try and adjust to not overdoing it and feeling kind of useless and frustrated with the physical limitations,-0.6908
negative,i am struck down by the disease i feel as if i am a fake a person who could not live his truth,-0.7237
positive,i understand but i feel like i hated my friends,0.1531
positive,i feel ok and go out into the world to work buy food or just go for a walk,0.296
positive,i feel kind of talented right now lol hmmm,0.701
negative,i do feel slightly ungrateful about it but i can only spend so much time with them before going mad,-0.7314
positive,i remember the day i was on the phone with my be fri shannon telling her how i cried because i was feeling truly happy again,0.6705
positive,id call that feeling relaxed,0.5719
positive,i know he is totally trainable and can be free of his arm chewing habits i feel that the kids would be too nervous around him during the training process,0.296
positive,i wasnt mad at him i was mad at j for making me feel unimportant,0.4508
positive,i had gone to the cumberland earlier that week so had met a few of n amp h friends prior to the weekend which was really lovely as since moving away i feel there are so many wonderful people i don t know,0.9036
positive,i also did feel like i was excited to come back like i have two homes now,0.7506
negative,i had a feeling i was doomed when i discovered i liked doing pap smears on family medicine,-0.2263
neutral,i thought i should be excited that im starting work but im feeling reluctant as ever,-0.0129
positive,i find myself feeling passionate about,0.5994
positive,im so relieved and feel so much more like myself now that this is resolved this being almost nothing at all actually just some weird energy and i cant wait to be back at camp even though ill be hacking and coughing and spluttering all day long,0.6428
neutral,i did feel a bit like i was being mircowaved which wasnt an entirely pleasant feeling,0.0924
positive,i feel anxious for myself moment of truth i feel rather like a tiger in a cage when it comes to testing,0.4215
negative,i feel gloomy upset whatever negative emotions i take a look at my colorful paint pots and it will instantly lift up my mood,-0.7845
positive,i feel that sweet potatoes are very under rated,0.4588
neutral,i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,0.0248
positive,i feel quite uncertain that the art i create and my personal brand of creative living are what im here to contribute,0.3626
negative,i feel so like distraught and lost being there,-0.5244
neutral,i have a constitution for also not feeling deprived lucky me,-0.0382
positive,i sometimes feel is a gentle reminder of why we are adopting,0.4404
positive,i was able to guess or pick up on a lot of the plot twists in this episode from the first hints we were given and whether thats moffat using really obvious foreshadowing or me having a solid grasp of his narrative logic im not sure but i like it it both builds suspense and makes me feel clever,0.2856
positive,i mentioned above feel free to hit me up about anything,0.5106
positive,i left feeling pretty disappointed in my casting skills,0.1531
neutral,i feel nostalgic for old books which i often reread,0.0
positive,i hope that i look back on this in the future and feel glad i documented all her small ways and feel if possible even more love for her than i do now,0.8858
negative,i feel when they are distressed in the night is perhaps more than empathy,-0.4215
positive,i have been in my mm comfort zone for too long and i feel the need to get a bit more creative with my composition,0.6901
positive,i grinned at peter feeling somehow triumphant when it was only partially forced,0.4588
negative,i am not feeling too super,-0.5448
positive,i do find that this question puts me right at the edge of bringing the love of the dharma into the world an edge that i feel is vital and necessary,0.7506
negative,i feel selfish for it,-0.4767
negative,i scream every day and every night and no one hears and my face is starting to fall off and i feel anxious and frightened all the time and i don t think i know what anything means anymore,-0.8316
negative,i was beginning to feel almost jaded by backpacking i guess the endless bouncing around a title comfort v cash my backpacker struggle with overland travel href http www,-0.2748
negative,i just feel so depressed and i don t know what would make me happy,-0.1384
negative,im feeling kind of dumb admitting i was gloating over the fact that i had her now,-0.4215
negative,i feel furious at myself for being so pathetic furious at her for various reasons,-0.9208
positive,im still waiting for my new fairy lights to be delivered but i couldnt wait to get the tree up and make the house feel a little more festive,0.6152
positive,id probably go with none on and hope that my date admires a confident girl who feels fine without makeup,0.6242
negative,i feel strange,-0.2023
positive,ive got no brothers in the family i feel incredibly blessed to be gifted with sisters who drive me up the wall and who also happens to be the ones who make me feel most comfortable being myself,0.764
neutral,i was escorting a relative on a bike,0.0
negative,i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,-0.5095
negative,i have a rough day every now and then where i feel exhausted all day no matter how much sleep i get and then im good for a week or so,-0.1779
negative,i feel the other person is unimportant but it is my interpretation see the trend that i have been misunderstood and that instead of wasting time hence the impatience part having them explain what i feel is already a misunderstanding i try to reexplain my intent,-0.9403
positive,i feel my lip curl up into a half smile amused at the way he s put it,0.6486
neutral,i have a feeling of being scared but also knowing that i am in for some really big changes in my mind body and spirit,0.09
positive,i want their birthmoms to feel confident that they made the right decision,0.5423
positive,im currently trying to implement these changes into my life and i already feel more valuable to myself and my business to my family and to myself,0.5256
neutral,i won t even go in stores because i feel so unwelcome,0.0538
positive,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time,0.6808
negative,i could before the actual thing and then if i still couldn t figure out if i d feel embarrassed not knowing how to get in line or how to get a drink or where to park my car or whatever i just wouldn t go,-0.3612
negative,i am able to say with acuity that feeling exhausted is not normal for anyone,-0.25
positive,i looked down and feasted on the view of my own legs and knees and memorized the feel of the cars gentle rocking,0.4404
positive,i am feeling honored grateful and blessed to get to spend each day with these remarkable th graders,0.9413
positive,i tells him not to feel troubled over her,0.357
neutral,i feel like an emotional train wreck,0.0516
negative,im warning you hes feeling cranky this morning,-0.2263
positive,i want to be in the future years some of you made me feel amazing and some of you are the best friends i could ever ask for,0.9081
positive,i don t mean this to be a serious recollection of feelings only a funny in a not funny sort of way story so let s get back to where the action begins,0.6705
positive,i have to deal with the fact that society wants everyone to feel like they re in fake love for a couple of days and then we can all forget what emotions are,0.4019
negative,i get bored i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything can happen in this world for an ordinary girl a class profile link href http www,-0.34
negative,i saw the pair of them walk out of the gates i couldnt help it the months of suppressed feelings of not being homesick came out for a few seconds anyways,-0.1877
positive,i feel free exhilarated,0.8074
neutral,i said look your moving to fast i am at the point in my life where i feel like a victimized child a child that needs to talk and get things out,-0.0772
positive,i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,0.9081
negative,im now feeling a little more resolved to get my shit done too,-0.3368
negative,i get that feeling that my life has been a miserable waste happens less and less as i get older btw ill look at this playlist page of comments and remember,-0.8074
negative,i suppose because everyone elses problems are generally much worse than mine so i feel idiotic for not just learning to deal with everything myself,-0.8651
positive,i appreciate when i open up to the universe and i feel and receive gentle nudges both through small happenstances and clues that present themselves and also through dreams,0.8074
positive,i or lambrusco but the quality is so much higher than a lot of those wines that i feel this is a smart buy for those who like a little sweet and a little bubbly,0.885
positive,i felt so good in fact i went to zumba half an hour later for an hour and then left there feeling even more energetic if that was possible,0.7837
positive,i feel your motivation will be satisfied when you read this write up also who understands,0.6369
positive,i am waiting for a feeling that special feeling that makes life easy and bearable,0.765
positive,i feel like my girls are really starting to get it and i am loving hearing them sing the christmas songs about jesus,0.7506
negative,i feel like i have to preface this post w a disclaimer of some sort before i have an enraged peta after me or something equally as horrible,-0.5719
neutral,i hardly feel that way m usually hyper and bouncy around everyone,0.0
positive,i reply because they make me feel pretty,0.4939
positive,i also told my cousin that i feel like the other family members do not know how to talk to me or are afraid to talk to me,0.3612
positive,i hear the word and i feel stronger and re assured once again,0.6249
negative,i feel totally lame but i have no idea what to blog about today,-0.5922
positive,i feel but is ultimately just ok,0.4215
negative,i feel quite jolly in spite of the heat and the lack of commercialism,-0.3336
positive,i got to walk in the rain and feel triumphant over nature in my rain boots and pink rain coat,0.5267
positive,i feel like hiding to prevent others from exposure to my decidedly unpleasant expression of anti christmas cheer or the bah humbugs as i like to call it,0.1298
positive,i knew i wanted to somehow include the idea of natural healing and holistic living but the site is also about feeling radiant vibrant and enthusiastic about life at any age,0.9481
negative,i like the brush a lot but since returning from spain sob and the release of real techniques i started using the expert face brush for my liquid foundation and the sephora mineral powder brush sat at the back of my collection feeling unloved,-0.5927
positive,i feel like i have been screaming at a blank and very solid wall,0.2006
negative,i cant help but feeling a little hesitant about my decision just because of the magnitude of the decision,-0.5014
positive,i feel so lucky to be nominated for the liebster award,0.7645
positive,i feel like that leaves me as the artistic equivalent of the crack between couch cushions,0.3612
positive,i can feel it and look with eager anticipation for what is to come,0.4404
negative,i start to feel agitated inside,-0.4588
positive,i feel respected and such,0.4767
negative,im feeling a bit suspicious,-0.25
positive,i feel honored to even be mentioned in the same sentence as derek,0.6249
negative,im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom,-0.677
positive,im feeling generous or in a restaurant like the mandarin grill which has a fairly stellar reputation this impression may be extended to edible yet decorative garnishes like samphire,0.8728
negative,i am quite perplexed by liam i m trying to figure out if he s always been submissive or does he feel he needs to be submissive to mark and johnny,-0.7346
negative,i would not feel so all alone everybody must get stoned,-0.3134
positive,i feel honored that the veil was lifted in that moment,0.5859
positive,i bought this one a couple years ago and it makes you feel a little glamorous,0.4601
negative,i feel stressed i tend to scrapbook and make cards,-0.34
negative,i feel very unwelcome and unwanted everywhere,-0.6318
positive,i must admit no matter how early i start playing christmas music and doing my holiday shopping the tree makes everything feel so much more holly and jolly,0.7759
negative,i feel pressured to write because i pressure myself to write or at least that it s just ingrained to do so,-0.4767
positive,i feel like todays sweet treat would be something served at the north pole,0.802
negative,i don t feel that irritated,-0.4588
negative,i feel that way makes me even more angry,-0.5563
negative,i feel like that enables her rotten ass even more but i am at a total,-0.3919
negative,i havent been like that lately and i am seriously feeling depressed about it,-0.6818
positive,i may finally sit down and feel sweet release only to notice i have misplaced my glasses or that the kids have found a unique place for them,0.4588
negative,i feel ashamed oh how romantic,-0.1027
positive,i have been feeling especially emotional for some reason,0.3384
negative,i feel so despised and i feel this world is crumbling onto me again,-0.4576
positive,i feel honored to have had the opportunity to sign my book within the walls of this library,0.765
positive,i feel really cold and miserable but i try to motivate others who are finding the walk as trying as i am,0.2888
negative,i feel terrible no one want to listen to me either,-0.6124
negative,i still likeguy and i still feel guilty,-0.4215
positive,i feel if it aint broke why fix it,0.3252
negative,im sorry for how bad i hurt your feelings that make you feel unloved and alone feeling afraid to love and trust again,-0.4767
neutral,i must say though i have been feeling pretty violent,-0.0516
positive,i feel so strongly and passionate about so hearing that just made my heart sink,0.7233
negative,i don t feel that i am being punished for hidden sin in my life,-0.765
negative,i would feel so devastated that every channel i click on the the tv was another sport event or maybe the same sport event but in different language,-0.4693
positive,im just feeling that dating is an important part of growing up,0.4588
negative,i feel reasonably assured run no magical genealogical strains,-0.2263
positive,i am feeling extremely pleased with myself and i decide to give the guy another rupees,0.5709
negative,i do that i d feel regretful,-0.4404
negative,i feel we need to bear in mind though is that there are low cost resort rooms in europe and england if we look,-0.2732
neutral,i am also noticing that i can only handle so much incoming information or i start to feel overwhelmed,0.0516
positive,i feel so pathetic that i stoop down to that level but i really really just want to be happy with whatever i have,0.7019
negative,im feeling a little less jaded,-0.1352
negative,i am sick of you feeling sad and upset so lets do angry because angry i can handle,-0.9396
positive,i love the feeling of running in the cold when you can see your breath and cold air seems to refresh you from the inside out,0.6908
positive,i feel so blessed now that i think something tragic is going to happen to me in the future huhuhu see i m still battling that thinking positive thing,0.5709
positive,i was feeling hopeful around the time i took it,0.5859
negative,i may feel stress unhappy,-0.6808
negative,i was reluctant but hey i was feeling so lousy i had nothing to lose,-0.6249
positive,i did wake up feeling pretty energetic so thats a positive anyway,0.888
negative,i get the pre birthday blues when i spend or weeks feeling slightly melancholy because of all the things i havent done while my life whizzes by,-0.2748
negative,i feel like i have to start taking it more seriously but i m already exhausted,-0.4582
negative,i was ashamed of my family and i was ashamed of myself for feeling ashamed,-0.8316
neutral,i love winter so maybe i should be happy but i cant i feel gloomy and depressed,0.0428
negative,i feel scared that i own it,-0.4404
positive,i feel i owe my adoring fans a lj entry every once and a while,0.5574
negative,i feel i had to make as a hateful bastard is too stupid to make any assumed connections that are not themselves hateful,-0.9231
positive,i feel really honored and excited to have met her,0.7755
negative,i feel a strange sense of legacy,-0.2023
positive,i just remember feeling really dazed and amazed that it had all happened little did i know if you are about to have or have just had surgery then good luck i m sure i ve had the bad luck for everyone,0.8648
negative,i feel hesitant to do it since i don t have any experience with programming and all,-0.25
negative,i feel helpless powerless and out of control,-0.7351
neutral,i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,-0.0772
positive,i also need to remember how bad overeating makes me feel not just the fullness but the hangover i get from food thats too rich or too sugary,0.5647
negative,i started to feel melancholy and uncertain and really missing my son,-0.7645
negative,i guess the finality of my decision and the financial repercussions have me feeling doubtful,-0.2263
negative,i was driving back i was having a moment of missing new orleans and feeling really sad when it just hit me that i was able to go visit them for the night on a whim and i felt such a peace,-0.1513
negative,i can but i feel massively uncomfortable doing it it consumes massive amounts of processing power and i associate it with some very bad situations ive been in recently,-0.8621
negative,i overly pc in feeling a little shocked,-0.1298
negative,i am just feel so shy cause i realized those people behind me just didnt dance and look at us gt,-0.1321
negative,i cant help but feel helpless and overwhelmed by the mistakes ive made,-0.8215
negative,i feel it like a dull ache,-0.4215
positive,i compare it to mine i feel irritated but i tried to be realistic to calm my self down,0.2382
negative,i start feeling really lousy but figure it was pregnancy stuff,-0.2838
negative,i feel whiney at the moment,-0.3182
positive,i don t really like to have the same kind of music all night but i do want all the bands to feel like they played with someone they liked,0.9159
negative,i brush it to the side or tuck it behind my ear only to feel a few rebellious strands escape and tickle my cheeks and my lips i realize im not the one in control,-0.128
positive,i am also now down lbs so i feel so good i still have another to go at least well thats the plan anyway,0.7328
neutral,i feel like i cant be brave,-0.0711
positive,i wish that my family and i didnt feel this need to keep her constantly entertained when shes around because shes always bored out of her mind irregardless of what we do with her and doesnt remotely appreciate our efforts to tolerate everything about her but whatever,0.1333
negative,i think my feelings remix is the result of how neurotic i can be,-0.34
negative,i have a collar complete with padlock at the back that i wear when im feeling submissive,-0.2023
negative,i felt empowered telling him how it had affected me how i had come close to suicide because of the severe distress it had caused me to continue to feel long after the unpleasant encounter where what i felt was disregarded completely,-0.9501
negative,i do not believe all media content is bad in fact much of it i feel is absolutly vital to human flourishing,-0.3182
positive,i admits to feeling remorseful after her outbursts width height,0.2023
positive,i still dont know what to make of it all but somehow i feel even more assured that what i teach works,0.5704
positive,im thankful to work in a place where i can feel comfortable and supported,0.8519
negative,i did not know was that she was of the damned and that she had had centuries to hone the very words she wielded against me with their razor edge in hindsight i cannot help but feel resigned to the fate that inevitably followed for i was helpless to withstand her,-0.8372
negative,i feel unsure or neutral about changing but really does not want to change,-0.3024
negative,i feel depressed moody and just lethargic and tired,-0.872
positive,i really like in choir the people who i feel are really friends in choir who are sincere to me are not going for the trip and i feel really lost,0.7425
negative,i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,-0.1796
negative,i feel so damaged in that i cannot speak,-0.4927
negative,i am new to this so feels kind of strange but i will push through it,-0.1397
positive,i rarely feel hesitant to say something sometimes even too much,0.1877
negative,i felt jealous when you i feel insecure when,-0.7003
positive,i hope that one day i feel some sort of divine inspiration and motivation and that these fasts will come easy for me but for now they are on my back burner something i hope to focus on after i am done having and raising children,0.8923
negative,i don t feel unwelcome there,-0.4019
negative,i did not sleep better my food did not taste better my thoughts were not clearer i did not feel more vigorous i was in essence pounds of body and mind almost exclusively devoted to thinking about the cigarette i wanted but could not have,-0.1767
negative,i no longer feel disadvantaged by my ethnicity and the fact that the majority of gay men are racist and dont wanna date asians,-0.836
negative,i do not want to feel regretful because i did not stop you from smoking before so much damage was done,-0.692
positive,i haul of each to the lava planet and export them down to the space port feeling fairly clever,0.5423
negative,i only want to write here when i am feeling unhappy,-0.25
negative,i feel low and lost and lonely on a grey day,-0.6908
positive,im feeling the moxie fab love cath script src http www,0.8271
positive,i have just good news to share and it feels so amazing just being able to sit here and feel relief and sunshine,0.9457
positive,i felt myself melting away again but this time it was a happy feeling not a scared one,0.8723
neutral,i now feel a longing for knowledge,-0.0258
positive,i try to come up with ideas that i feel are clever to keep the my pieces fun to make and interesting to look at,0.8402
positive,i feel more happiness and are more peaceful,0.8119
neutral,i feel sorry for the employees but if this is the way applebees ceo behaves its best if the chain is starved to death by caring consumers,-0.0772
negative,im feeling depressed anxious and despondent thats all i seem to want to do,-0.765
positive,i was feeling a bit rushed and the kitchen has just been cleaned so i mixed up in the blender which i find works just as well provided your butter is really cold and you dont over do the pulse,0.3818
neutral,i feel like this week these photos are kind of boring and uninspiring,-0.024
positive,ive been feeling much more confident,0.6115
positive,i feel were most successful sodden shattered squeeze sardonic and squat,0.1851
positive,i am not amazing or great at photography but i feel passionate about it,0.3436
positive,i was afraid i was going to freaking explode my muscles locked into place and all i could feel was the absolutely ecstatic sensations ivy s hands were creating,0.4576
positive,i feel like its flying by and im afraid im going to miss something,0.2263
positive,ive found it im feeling pretty pumped,0.5719
positive,ive been feeling a bit discontent with my music for a while now,0.128
neutral,im confident a lot of people who feel that zimmerman should be punished,0.0516
negative,i feel your prick every night when you re dreaming about me and i she paused dramatically i am not impressed,-0.6065
positive,i feel so excited about it,0.4005
positive,i do love air at alton towers though i feel like im flying its a lovely free feeling though to be fair if any bird flew as fast randomly and upside as that rollercoaster i think it would end up beak first into the nearest tree,0.9485
negative,i am feeling particularly annoyed at my co workers i sometimes make the rounds of the floors finding literally pounds of white paper in the trash,-0.3384
neutral,i did it i survived our very first big kid trauma though i still feel shaken by the whole event,0.0516
negative,i started secondary school at the age of every night i would cry and lose sleep over the thought of school the next day but it wasnt the usual feelings of oh i cant be bothered with school,-0.1172
neutral,i won t get into making excuses for the man he s a big boy and can do that for himself and his staff i walked away from red rooster feeling dissatisfied underwhelmed and confused,0.0772
positive,i look out on this scene i think about how cute it is and enjoy a swelling feeling of pride in the playful delight of my dog,0.9423
negative,im feeling a but of melancholy today a bit of sadness but i also feel that the sadness is ok,-0.8591
positive,i am feeling happy,0.6369
negative,i see what the ritalin culture is doing to the children and their flias i feel shocked,-0.3182
positive,i don t always feel joyful and i quite often throw prayer out the window,0.5994
positive,i feel like this little innocent helpless person needs me and i guess i like to be needed,0.5244
negative,i can tell you exactly what is wrong at this very moment this very second i grieve for my son i miss my son i feel as though i am being punished and living in a hell at times,-0.9346
negative,i kept my heart open and exposed while watching the news every night i would most likely never recover from the rush of helpless and hopeless feelings created by all the tragic stories,-0.8074
positive,i do feel sympathetic and try to help when i can but it s different when it s your own community,0.4588
positive,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,0.7941
negative,i feel our children are caught up in these unfortunate situations by no fault of their own and they so deserve to have a voice and someone to be there just for them and their best interests,-0.1779
positive,i watched on thanksgiving this morning i am feeling doubly blessed for what god has given me,0.7579
negative,i feel inadequate in those moments as a momma,-0.4019
positive,i feel like this was a milestone race and i ve shaken the novice feeling off,0.4019
positive,i am in a place where i feel hopeful of finally getting a job at another warehouse distributors like where i did work but the products are floral instead of stationary accessories art bags and such,0.4404
negative,i am not going to get into saturday night all im going to say is i once again went home sat with billy for a bit then went to bed feeling alone wasted not in the good way and abandoned,-0.8445
positive,i feel i was successful in doing that for the waxing moon it s quite a bit different than the hidden sun,0.5859
positive,i feel more reassured now,0.4576
positive,i know i won t last long being ambulatory i feel it even though i try to be as positive as i possibly can,0.8074
positive,i am no expert in nutrition and diet planning i eat to feel strong and keep my energy level up,0.4939
negative,i literally fell on my knees during one episode which feels so pathetic,-0.6948
positive,i feel alone so marginalized by my wacky core beliefs that are shared by a tiny percentage of the u,0.1027
negative,i think its the case that whether people like anne coulter or ed schultz really feel as outraged as they do their viewers most certainly do feel that kind of outrage and anger about the substance of their collective tirades,-0.7823
positive,i feel really wonderful about myself and love the life i live,0.8479
negative,i have tryed different ways for people to notice me but i feel fake doing them because none of it is myself,-0.631
negative,i feel low not coz of the situations distance or the person but its that one thing that hurts you and makes you feel responsible for what i have done to myself,-0.4118
negative,i feel guilty for not having made any blog entries for months,-0.4215
positive,i must feel loving toward everyone,0.5994
neutral,i feel as though i have a blank canvas and can pick any theme i want,0.0772
